epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,74.6249,0.94881,0.74914,1.21495,0.86017,0.77504,0.89581,0.57,1.4634,1.14585,1.74469,0.0010941,0.0010941,0.0010941
43,76.2134,0.93242,0.6893,1.20978,0.84145,0.79281,0.89027,0.54042,1.42553,1.25203,1.74482,0.0010842,0.0010842,0.0010842
44,77.8069,0.89262,0.68657,1.17315,0.84145,0.79281,0.89027,0.54042,1.42553,1.25203,1.74482,0.0010743,0.0010743,0.0010743
45,79.3966,0.97765,0.74294,1.24364,0.82542,0.80783,0.86702,0.54902,1.43109,1.13737,1.75048,0.0010644,0.0010644,0.0010644
46,80.9524,0.92927,0.68695,1.19283,0.82542,0.80783,0.86702,0.54902,1.43109,1.13737,1.75048,0.0010545,0.0010545,0.0010545
47,82.5717,0.99748,0.75569,1.24983,0.79367,0.81302,0.86914,0.55174,1.455,1.15724,1.77061,0.0010446,0.0010446,0.0010446
48,84.1519,0.8952,0.68387,1.19331,0.79367,0.81302,0.86914,0.55174,1.455,1.15724,1.77061,0.0010347,0.0010347,0.0010347
49,86.1258,0.90673,0.67252,1.19048,0.76089,0.843,0.89539,0.58869,1.3715,1.03888,1.68669,0.0010248,0.0010248,0.0010248
50,87.7091,0.87306,0.66644,1.16221,0.76089,0.843,0.89539,0.58869,1.3715,1.03888,1.68669,0.0010149,0.0010149,0.0010149
51,89.3005,0.96964,0.72966,1.23781,0.82485,0.84183,0.91316,0.60166,1.34734,0.96632,1.61563,0.001005,0.001005,0.001005
52,90.8618,0.91377,0.68225,1.19648,0.82485,0.84183,0.91316,0.60166,1.34734,0.96632,1.61563,0.0009951,0.0009951,0.0009951
53,92.4611,0.83425,0.60493,1.13912,0.69191,0.94464,0.89817,0.58917,1.37639,0.90702,1.60133,0.0009852,0.0009852,0.0009852
54,94.0157,0.91379,0.6767,1.19337,0.69191,0.94464,0.89817,0.58917,1.37639,0.90702,1.60133,0.0009753,0.0009753,0.0009753
55,95.6723,0.93903,0.67762,1.22389,0.77186,0.77735,0.87787,0.5861,1.37937,0.93806,1.61486,0.0009654,0.0009654,0.0009654
56,97.3457,0.91845,0.66375,1.18779,0.77186,0.77735,0.87787,0.5861,1.37937,0.93806,1.61486,0.0009555,0.0009555,0.0009555
