epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,73.0529,0.90821,0.79366,1.10301,0.77262,0.83599,0.90697,0.59062,1.27326,0.87871,1.35865,0.000306912,0.000306912,0.000306912
42,74.8724,0.87353,0.79462,1.10184,0.77262,0.83599,0.90697,0.59062,1.27326,0.87871,1.35865,0.00030416,0.00030416,0.00030416
43,76.7218,0.88029,0.77895,1.09508,0.83511,0.81282,0.90859,0.58783,1.2844,0.83853,1.35548,0.000301408,0.000301408,0.000301408
44,78.5,0.84044,0.74732,1.06029,0.83511,0.81282,0.90859,0.58783,1.2844,0.83853,1.35548,0.000298655,0.000298655,0.000298655
45,80.1105,0.82863,0.77823,1.05919,0.87093,0.7769,0.91104,0.57667,1.31403,0.85162,1.3673,0.000295903,0.000295903,0.000295903
46,81.7009,0.87818,0.76672,1.09587,0.87093,0.7769,0.91104,0.57667,1.31403,0.85162,1.3673,0.000293151,0.000293151,0.000293151
47,83.3676,0.87226,0.77762,1.09143,0.89512,0.75879,0.9019,0.571,1.32636,0.87598,1.38401,0.000290399,0.000290399,0.000290399
48,84.9343,0.87097,0.73511,1.08965,0.89512,0.75879,0.9019,0.571,1.32636,0.87598,1.38401,0.000287647,0.000287647,0.000287647
49,86.5294,0.78083,0.70153,1.03092,0.85915,0.77124,0.89771,0.56271,1.32249,0.90811,1.38227,0.000284894,0.000284894,0.000284894
50,88.1227,0.86342,0.74027,1.08749,0.85915,0.77124,0.89771,0.56271,1.32249,0.90811,1.38227,0.000282142,0.000282142,0.000282142
51,89.709,0.81423,0.71333,1.05191,0.67002,0.90893,0.90892,0.57416,1.29507,0.87513,1.38953,0.00027939,0.00027939,0.00027939
52,91.2995,0.82287,0.69109,1.06167,0.67002,0.90893,0.90892,0.57416,1.29507,0.87513,1.38953,0.000276638,0.000276638,0.000276638
53,92.8996,0.78686,0.66891,1.03728,0.83115,0.80893,0.9062,0.5693,1.28888,0.86645,1.4022,0.000273886,0.000273886,0.000273886
54,94.764,0.87606,0.74438,1.0859,0.83115,0.80893,0.9062,0.5693,1.28888,0.86645,1.4022,0.000271133,0.000271133,0.000271133
55,96.4059,0.83292,0.72551,1.06352,0.87174,0.79682,0.91228,0.5709,1.31272,0.87306,1.42581,0.000268381,0.000268381,0.000268381
56,98.1224,0.78084,0.66672,1.04845,0.87174,0.79682,0.91228,0.5709,1.31272,0.87306,1.42581,0.000265629,0.000265629,0.000265629
57,100.369,0.74737,0.62469,1.01643,0.83032,0.79653,0.8794,0.54283,1.30763,0.90986,1.42453,0.000262877,0.000262877,0.000262877
58,101.982,0.83397,0.68482,1.06873,0.83032,0.79653,0.8794,0.54283,1.30763,0.90986,1.42453,0.000260125,0.000260125,0.000260125
59,103.657,0.79959,0.66823,1.05715,0.68898,0.91283,0.87717,0.55105,1.31668,0.95136,1.4272,0.000257372,0.000257372,0.000257372
60,105.309,0.82448,0.673,1.06425,0.68898,0.91283,0.87717,0.55105,1.31668,0.95136,1.4272,0.00025462,0.00025462,0.00025462
61,106.874,0.83882,0.69012,1.0664,0.7011,0.91977,0.87783,0.56386,1.29713,0.944,1.40778,0.000251868,0.000251868,0.000251868
62,108.413,0.79533,0.69926,1.0399,0.7011,0.91977,0.87783,0.56386,1.29713,0.944,1.40778,0.000249116,0.000249116,0.000249116
63,110.035,0.79995,0.65209,1.04505,0.7077,0.92275,0.8851,0.56259,1.29988,0.90813,1.4316,0.000246364,0.000246364,0.000246364
64,111.555,0.74889,0.63773,1.02612,0.7077,0.92275,0.8851,0.56259,1.29988,0.90813,1.4316,0.000243611,0.000243611,0.000243611
65,113.109,0.75422,0.63702,1.03539,0.71054,0.92,0.89013,0.57572,1.30409,0.89172,1.43638,0.000240859,0.000240859,0.000240859
66,114.655,0.76965,0.6372,1.03686,0.71054,0.92,0.89013,0.57572,1.30409,0.89172,1.43638,0.000238107,0.000238107,0.000238107
67,116.315,0.79591,0.66009,1.04936,0.7121,0.92321,0.89672,0.58134,1.3024,0.90354,1.41267,0.000235355,0.000235355,0.000235355
68,117.849,0.76659,0.65738,1.02141,0.7121,0.92321,0.89672,0.58134,1.3024,0.90354,1.41267,0.000232603,0.000232603,0.000232603
69,119.447,0.80156,0.63631,1.05643,0.70973,0.93907,0.90321,0.59097,1.27007,0.8917,1.37357,0.00022985,0.00022985,0.00022985
70,121.002,0.72616,0.59852,1.01187,0.70973,0.93907,0.90321,0.59097,1.27007,0.8917,1.37357,0.000227098,0.000227098,0.000227098
71,122.565,0.80294,0.62587,1.07035,0.88008,0.80221,0.91968,0.59096,1.26683,0.93654,1.36331,0.000224346,0.000224346,0.000224346
72,124.494,0.75951,0.60506,1.04258,0.88008,0.80221,0.91968,0.59096,1.26683,0.93654,1.36331,0.000221594,0.000221594,0.000221594
73,126.241,0.73767,0.60418,1.02169,0.88041,0.79805,0.90791,0.5881,1.28306,0.93875,1.39037,0.000218842,0.000218842,0.000218842
74,127.771,0.7415,0.59367,1.02599,0.88041,0.79805,0.90791,0.5881,1.28306,0.93875,1.39037,0.000216089,0.000216089,0.000216089
75,129.32,0.77753,0.65519,1.02141,0.71423,0.93749,0.90827,0.58173,1.2998,0.93248,1.39274,0.000213337,0.000213337,0.000213337
76,130.843,0.68564,0.56131,1.00343,0.71423,0.93749,0.90827,0.58173,1.2998,0.93248,1.39274,0.000210585,0.000210585,0.000210585
77,132.402,0.70901,0.56211,0.98562,0.83787,0.81966,0.90865,0.58792,1.30143,0.9101,1.39997,0.000207833,0.000207833,0.000207833
78,133.966,0.74484,0.59347,1.02592,0.83787,0.81966,0.90865,0.58792,1.30143,0.9101,1.39997,0.000205081,0.000205081,0.000205081
79,135.546,0.71529,0.57204,1.00393,0.83774,0.81515,0.89324,0.57572,1.31278,0.87817,1.43432,0.000202328,0.000202328,0.000202328
